response,anchor_id,answer_id,questions,filtered response
Score: 80,1,2,"What is the recent history of the peace talks? <|endoftext|>
",80
Score: 100,2,3,"What else was agreed upon by the representatives of the Russian Federation and Ingushetia? <|endoftext|>
",100
Score:100,2,4,"What is problematic about the limited cease-fire? <|endoftext|>
",100
Score: 20,1,5,"Why are the peace talks set to resume? <|endoftext|>
",20
Score: 70,2,6,"What is the stance of Russia's counterpart to the cease-fire in Ingushetia?
",70
Score: 0,6,7,"How have previous offers been ignored by the Feisty Mascot? <|endoftext|>
",0
Score:100,1,8,"Where will the peace talks be held? <|endoftext|>
",100
Score: 80,2,9,"What do the resumption of the talks in the town of Sleptsovsk do to the cease
",80
Score: 30,9,10,"Why do some feel the cease-fire can hold? <|endoftext|>
",30
Score: 0,1,11,"Why are the peace talks called resets? <|endoftext|>
",0
